-2.4986304598900555e+202  +  j * -9.4570623208349467e+192 
5.0377930330421546e+154  +  j * 3.2518267871217737e-118 
-3.3774560505260672e-222  +  j * 1.7247470665812198e+173 
6.2320287566285293e+295  +  j * -1.8504325001236533e+273 
-9.2681974052010252e+146  +  j * -2.2663600366342146e+196 
-2.3956708405688315e-69  +  j * -1.1817121409658334e+66 
-8.8334053244932778e+104  +  j * 2.1003894042598527e+40 
-1.4930356548864753e+54  +  j * 6.2527755339443443e-204 
-7.9228176741847661e+146  +  j * 6.2935812648351167e+248 
4.5229208225402453e-147  +  j * 2.4902034726999787e-82 
1.9031462528127066e+121  +  j * 3.5285334980598932e-44 
7.7353309099136833e+213  +  j * -1.4339470227312481e+262 
2.7677816680333368e+171  +  j * 2.6357634435538640e+279 
1.9568650101663848e+173  +  j * -8.7130230252552283e+68 
-1.2187518570474860e+154  +  j * -1.2750051088963131e-36 
2.0577564027202541e+69  +  j * 8.1874307888083434e-109 
-4.5179203147069891e+108  +  j * -8.3389115819478078e+258 
-1.9958105824730158e+186  +  j * 1.7462082362287032e+197 
-3.6151128656701047e-238  +  j * 1.1694263609764850e+290 
5.8674818114719633e-89  +  j * 3.4991489599613692e+261 
-1.5441409566491649e+261  +  j * 6.4397010463293065e+290 
-3.4479775517248424e+41  +  j * -1.1858211865868693e+90 
-2.4623058737895996e-59  +  j * 6.2869317809318446e+133 
1.2591172432115954e+174  +  j * -1.9700599162152142e+42 
5.5188943227301676e-29  +  j * -3.5126510690364937e+217 
1.9976038059338245e+171  +  j * 1.2252412644040601e+213 
-5.8082645491082748e+53  +  j * -2.4000654465921661e-01 
-4.8726113068621684e+95  +  j * 3.4686717561486788e+246 
3.2277717523488606e+229  +  j * -7.6058870264725235e+302 
-5.2025882252818601e-33  +  j * -1.2899436445952112e+198 
-9.3491019800204264e+55  +  j * -1.7684689336650090e-158 
-2.3991432554008603e+63  +  j * -1.4400396280297281e+205 
2.5264444221867406e+123  +  j * 9.2875560918097648e-189 
4.8641739504817061e-27  +  j * 1.1495952080054816e+132 
-1.4566129225562767e+273  +  j * 1.8257528635037664e+17 
5.7012299685332790e+91  +  j * 4.8819827127499678e+61 
4.4560837288835446e+219  +  j * -1.5676109414508886e+84 
1.0270302282039431e+06  +  j * 1.8952410783225889e+291 
1.0319121510960972e+130  +  j * 1.1581912878936754e-40 
-6.6065867875370911e+293  +  j * 1.1071646572502197e+194 
3.8295465136477597e+230  +  j * 1.6057058722333779e+266 
3.8002400294827267e+151  +  j * -5.9320960533093619e+32 
1.0897659190117130e+82  +  j * 6.9067564054637161e+293 
-4.4800007831066512e+219  +  j * -6.5951218225063728e+56 
-3.1958539212004143e-130  +  j * 5.5918366096445498e-73 
-8.9215571964894266e-151  +  j * -2.8138704536759332e+177 
1.2090274836496559e+202  +  j * -2.9321146063094925e-182 
-3.3788102168812041e-119  +  j * -6.0115410578655409e+83 
-4.9606716748203233e+117  +  j * 7.1755043421566247e+174 
-4.4184877529420741e+182  +  j * 2.6590538956413501e+293 
-6.5225399856649899e-68  +  j * -8.7195101253944350e-113 
-5.1858500830759933e+121  +  j * 8.7903309541196431e+142 
-2.1738275573821621e-14  +  j * -1.9802815694140420e-234 
3.5934903346241563e+214  +  j * 2.2000501237566741e+83 
-1.9501019020220201e+34  +  j * 1.7850557599780651e-06 
-3.4686112996576588e-91  +  j * -3.0743101449923970e+252 
8.7239385309802995e+125  +  j * -6.9465750162022162e-39 
1.5175236793332472e+231  +  j * 1.0010605559409021e-03 
-6.5872513187456726e-16  +  j * -3.2261757456178992e+63 
2.1723702561986407e+104  +  j * 1.8429081985391365e+54 
9.3565427120729922e+229  +  j * -2.9221090624888331e-15 
-1.7440082651700726e+136  +  j * -2.8977999111604078e+112 
-2.7532727124308866e+106  +  j * 5.9178474643131697e+119 
-5.4067625722226237e-78  +  j * 4.5687443769181528e+284 
3.7409105501494611e+61  +  j * -1.1299643595906875e-16 
9.0848825329625496e+125  +  j * 2.9962547357412848e+171 
6.0969713563346063e+118  +  j * 1.7762899794927981e+46 
5.2561991573966690e-125  +  j * 8.2987848191532974e+255 
1.8701553014837461e+301  +  j * -5.3168901298672809e+145 
-2.2122815115462308e+16  +  j * 7.4421282307857430e-167 
2.6855709269907814e+171  +  j * -4.3279379213432215e-47 
-5.1213408520232471e+72  +  j * -7.0273308029550170e-106 
2.5546258762798630e+194  +  j * -5.8803399457118283e+162 
-5.7576045894727947e+190  +  j * -3.7559867860706805e+236 
-4.6060594664504831e+238  +  j * -1.5474519952006806e-214 
2.3639969047058623e-146  +  j * 9.5009709965496610e+134 
-4.2107718954394728e+195  +  j * 4.6169921054645223e+215 
1.1031965536830773e+213  +  j * -6.2186012509709001e-12 
-4.2310139915896508e-84  +  j * 4.3724162754263298e+76 
-1.4114990131157813e+150  +  j * 2.1337204326296443e+69 
-3.1880784899360473e-46  +  j * 5.1286527668708428e+248 
2.8531621812989185e+107  +  j * 2.5203148417113969e-14 
-6.1122094487748350e+153  +  j * 1.1247297884673786e-46 
-7.5761065083933516e+187  +  j * -3.1687657875212544e-229 
1.7485293745364532e+273  +  j * -6.3266050158773853e+199 
-5.7585354897532165e+241  +  j * 5.1287249839641424e+254 
3.1370326821080846e+95  +  j * 9.9882110025302522e+107 
-1.7928800248329485e+171  +  j * -6.9802663460797055e+281 
-9.4012822555093739e+166  +  j * 7.2831551283619095e+54 
-3.9940530532236300e+184  +  j * 9.9376384698899408e+228 
3.6720426507714826e+271  +  j * 1.5147385389475613e+121 
-3.1361674677848460e-239  +  j * -1.5917325881825415e+90 
2.4035461449319600e+253  +  j * 5.8155378398667663e+38 
9.3001993339550347e+04  +  j * 2.1167967049061740e+284 
-9.3541002617466474e+244  +  j * -1.5356014441674731e+103 
-8.1064988564571992e+189  +  j * -5.2353576231171986e+231 
4.9596968686367896e+153  +  j * 4.0516565814817450e+293 
-1.3217322062250095e+113  +  j * 2.8724859782555539e+13 
8.1997964377811992e+80  +  j * 1.1267691431524172e+117 
-3.0371731841184391e+269  +  j * -7.7943849755106081e+66 
-2.7751734785831960e+270  +  j * 4.7538492424465425e-103 
-1.0702437166191476e-12  +  j * 2.9560019855055830e+238 
-1.7862439495473838e+173  +  j * -8.8540041557386726e+133 
1.0168049356184602e+156  +  j * -1.1757355007653322e+246 
1.0076946324522489e-62  +  j * 3.6626038638726907e+193 
4.9972736586934490e+09  +  j * -2.0894152957528424e-209 
-4.0561863528263506e+104  +  j * 8.0788598964595515e+235 
1.9759552567197534e+267  +  j * 5.5378719614856771e-33 
-3.1023871379342528e+21  +  j * 2.1090179977541219e+161 
2.0710755140410451e+118  +  j * -5.1820466472574429e+00 
-3.8062747421690863e+144  +  j * 4.6446901225210770e+260 
-2.5105220865895446e+45  +  j * 7.1372752677175588e+156 
-3.1125698404184431e+151  +  j * 3.3779442423876010e+297 
1.7239211340523622e+209  +  j * 4.6340023990052824e+250 
1.3825726526876758e+57  +  j * -1.3395814811041223e-235 
-1.9110604114183773e+68  +  j * 4.8497937077896089e+43 
-1.0381282941772686e+27  +  j * -8.4699631535178744e+304 
6.1772449132223571e+01  +  j * -1.9385376565117292e+87 
4.7717392137189149e-204  +  j * -2.1023161197191950e+290 
-9.6317058445141378e-135  +  j * -3.4674080718765826e+81 
4.5090203109473161e+199  +  j * 3.0517682200289456e+16 
-2.1339161998422923e+183  +  j * 4.8319854866237114e-72 
2.3348184270760792e+303  +  j * -4.4338820362066120e+143 
1.1237990181415874e+94  +  j * -4.6779911021135518e+104 
3.5958185776836831e+244  +  j * -3.2580709947524350e-164 
-9.3787594156196253e+168  +  j * 3.8657175314605119e+202 
1.8356381351737840e+289  +  j * 4.3548219929848836e-47 
-1.3475434285175406e+195  +  j * 7.9940290137169322e+205 
-6.7905207180875900e+238  +  j * -4.3828035466991757e+269 
7.0197278898190074e+298  +  j * -5.9187721339403386e+290 
-2.1753753204757745e+148  +  j * -5.0236723840046936e+136 
5.5481291560077888e+231  +  j * 1.9388010744377752e+271 
1.1236435823268241e+132  +  j * 7.1254928597509847e-169 
-1.7445918997515807e+100  +  j * 9.1407942917449769e+18 
-1.1598696044866450e-76  +  j * -1.3951589831235065e-105 
-4.9586396908239843e+247  +  j * 1.0796694847416863e-141 
3.3035804676166172e+202  +  j * 8.2768939746971196e+211 
-3.3375170700233803e+201  +  j * 3.3401899728160484e+247 
-1.1217527070016513e+247  +  j * 1.7737212141583155e+221 
1.0016376936300976e+139  +  j * 8.0497703285883140e-72 
5.8539750120645897e+94  +  j * 2.3827305646902584e+250 
3.2031167921757356e+119  +  j * -2.1655708368161635e+158 
1.2566358142249571e+32  +  j * -3.5641854452720366e+94 
-3.3417462059041754e+248  +  j * 6.4382647823148924e+305 
-5.5801422465869032e+208  +  j * 7.3176326110132412e+292 
1.7803163332478464e+103  +  j * -2.2286147184897554e+99 
3.4477523390725235e+258  +  j * -4.4238334386813549e+290 
-8.2959922963280321e+159  +  j * -9.7210336022157645e+17 
7.2037197779640029e+236  +  j * -2.3284839985563748e+69 
-1.4253906969766634e+36  +  j * 7.4712037522141285e+217 
-1.9998340297024901e+251  +  j * 7.8522973477291677e+73 
-8.5824504324767835e+210  +  j * 4.1796358212159729e-80 
-1.1042856952170403e+281  +  j * -1.9250912331103922e+291 
-1.2635047380176041e+245  +  j * -3.2775222135218245e-27 
-6.3503468318627639e+290  +  j * 4.3013392777680334e+243 
9.9452371648333829e+176  +  j * -3.4426304271376056e+277 
4.7974450267890383e-92  +  j * -1.2044472373401927e+05 
-5.7902115915086319e-26  +  j * -1.4845561850271061e-165 
1.6646396737874442e+59  +  j * 9.1942042395977257e-233 
1.4919542667541287e-65  +  j * 5.9623435083940228e+85 
-3.9162120991667892e-37  +  j * 1.1412122830283869e+75 
-9.5167032784108696e+114  +  j * 1.3154590775068963e+108 
2.0184833629284627e-06  +  j * -7.8621458275926518e+186 
2.8064248029989235e+276  +  j * 3.7827090592072795e+217 
-6.3455069825954455e+192  +  j * 1.8282253580890706e+202 
2.1493905230814048e+174  +  j * 1.6474892962183216e+183 
3.5921451131447467e+33  +  j * -2.1304544875481127e+98 
3.1779625268079634e+286  +  j * -1.9868091342703836e+63 
-2.9703645036091748e+170  +  j * -1.2666867487532865e-154 
-2.2216767613102091e+64  +  j * -1.1157280284674337e+146 
-4.4459607599093518e-05  +  j * 7.0511268939122909e+81 
3.7689474692133011e+194  +  j * 2.7847625270152298e+145 
-7.2987215833070553e+184  +  j * -4.1590967255635753e-151 
-7.1765269255512108e+55  +  j * 1.0167710303679361e+97 
3.0912979523797190e+287  +  j * 2.9434284655412072e+225 
3.3057897362625756e-136  +  j * 8.8089073537417800e-132 
-3.2804490292174185e+281  +  j * -1.1494190518242910e+283 
7.5630150686663778e+157  +  j * 3.5852822286513519e-67 
2.9189864336111615e+85  +  j * -3.7406246735749956e+52 
-1.7416753298419098e+209  +  j * -5.9633844837841364e-05 
-4.0091868276674289e-105  +  j * -8.4328197769084741e+150 
1.1721309120101326e-175  +  j * -6.9562260025694661e+139 
-4.2586387998548893e-08  +  j * 2.1186989154184188e+148 
-6.8508188306671892e+220  +  j * 6.9094105974535743e+29 
1.5845626435705135e+211  +  j * 2.2246141812285524e+291 
-4.1289022744505733e-25  +  j * -2.1236244260228305e-147 
3.4314337171050002e+128  +  j * -2.6119421872951798e+259 
3.2582999261809456e+243  +  j * -1.8627329320288313e-148 
-2.3807033605667775e+260  +  j * 3.2710688080733752e-243 
-2.1172026535152504e-21  +  j * -2.5393701982196201e+59 
-1.0127636507684748e+242  +  j * 1.6086909192204542e+213 
-4.0146428662941398e+42  +  j * -2.9711058051020807e-08 
-1.0493370324985913e+241  +  j * 1.3366997348463713e+206 
3.7767776806121694e+259  +  j * -4.2437027056746171e+279 
-6.6123628054796665e+92  +  j * 3.7812075869061891e+225 
2.1290838889714789e+145  +  j * -8.5011526581047341e+280 
1.4356285874075656e+297  +  j * -1.0948855550624271e+218 
-2.5953482502239784e+14  +  j * 3.5605203153648118e-60 
-2.0346056737113905e+287  +  j * -2.6025781628047879e+201 
-2.0650222489074507e+74  +  j * -7.6760323993132502e-16 
