NaN  +  j * -inf 
-1.8922849275528030e+256  +  j * 1.1339157515364550e+46 
3.6092515966105008e+13  +  j * 4.7252357728306901e+206 
-7.7790966277716544e+127  +  j * -1.1462801341310385e-83 
-3.2737212518728417e+109  +  j * -2.1318502039968225e+93 
-1.6766586368116680e+263  +  j * -1.3269658618816846e+143 
1.9321990345753972e+287  +  j * 1.3390755211700903e+241 
inf  +  j * 1.9381131195961881e+201 
4.7503278212205499e+241  +  j * -6.5434209772341645e+17 
-9.7737928993779811e+185  +  j * -5.1700541636860669e-31 
2.4634661555870680e+133  +  j * -1.1104351556083288e+207 
-inf  +  j * NaN 
-4.5656604531753265e+306  +  j * 2.4114627214038673e-106 
2.4947681137788960e+279  +  j * -1.0089371718034509e-105 
4.3430478105206213e+224  +  j * 2.5202396886674929e-119 
3.7407213400508054e+261  +  j * -1.8956513345520674e+302 
5.9660176618288287e-21  +  j * 2.9013508366343572e+206 
4.7055292398557989e+92  +  j * -2.5684683140860519e-220 
7.9099253627154916e+290  +  j * inf 
-1.2578124058568082e+09  +  j * -6.9817010966555776e+94 
1.9090319040360583e-22  +  j * 1.4074655790372319e+279 
2.4454642313316387e+157  +  j * -3.0039315054103642e-30 
inf  +  j * inf 
-5.4344391621074070e+26  +  j * 7.4727869741382893e+50 
inf  +  j * NaN 
NaN  +  j * inf 
-3.1348995292419560e+153  +  j * 2.4293980145644536e-102 
inf  +  j * NaN 
NaN  +  j * -inf 
inf  +  j * -inf 
2.1001247391548405e-53  +  j * 2.3110886307241248e+126 
-2.6474008081919040e+41  +  j * 1.3194915296324905e+234 
1.1272369979130379e+88  +  j * -1.8297406525193879e+245 
1.0442401395136636e-40  +  j * 1.5700272678273942e+280 
inf  +  j * NaN 
NaN  +  j * inf 
1.2951239994090607e+138  +  j * 1.3791404188884444e+162 
5.1830345413583132e+88  +  j * -1.1931681585687036e+62 
-inf  +  j * inf 
NaN  +  j * inf 
-inf  +  j * -inf 
2.4442474768050075e+15  +  j * 3.3357397377833416e+172 
-7.5640003191161462e+152  +  j * 1.9102682631301008e+100 
-1.4540277113934631e+169  +  j * -4.0217885799190078e-04 
-inf  +  j * NaN 
-1.2102617474770437e+287  +  j * 5.1680734107115689e+119 
-inf  +  j * NaN 
-4.0879659146012199e+170  +  j * -6.6904087594784085e+112 
NaN  +  j * -inf 
NaN  +  j * inf 
-inf  +  j * inf 
NaN  +  j *  NaN 
1.6486507419064531e+168  +  j * -1.6173704539366029e+119 
-inf  +  j * NaN 
-5.2424603722564787e+188  +  j * -3.6179955892732990e+294 
-inf  +  j * inf 
2.4255685843464288e-03  +  j * -3.9517868953796555e-98 
1.2433948134478854e+99  +  j * -6.4571620402035364e-245 
-inf  +  j * NaN 
-inf  +  j * NaN 
2.8015609683077425e-160  +  j * -1.3386003724311123e+176 
-inf  +  j * -2.0375971689083228e+129 
-3.7043505446021326e+306  +  j * 7.9070153481326064e+81 
3.9800206130621944e-16  +  j * 8.0093415401478327e+100 
2.4182851494931623e+66  +  j * 4.3838022619113729e+142 
-7.4005947306003573e+120  +  j * -5.5664027926670122e-32 
1.7347061706652396e+218  +  j * 3.5723055068753732e+198 
-inf  +  j * NaN 
inf  +  j * NaN 
NaN  +  j * inf 
-6.2763254263717155e+97  +  j * -1.2630935168614682e+07 
-5.6098856382816419e+206  +  j * -3.1198149437723023e+123 
